City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,Giresun,40.5,38.5,64.4,100,40,1.12,TR,2020-08-25 03:45:00
278,Ulaangom,49.98,92.07,63.28,52,58,5.57,MN,2020-08-25 03:45:00
279,Kiruna,67.86,20.23,41.0,100,84,4.7,SE,2020-08-25 03:45:00
280,Emmett,43.87,-116.5,78.01,38,0,7.61,US,2020-08-25 03:45:00
281,Ambon,-3.7,128.18,80.19,79,29,18.34,ID,2020-08-25 03:45:00
282,Price,39.6,-110.81,84.2,20,1,3.36,US,2020-08-25 03:44:38
283,Padang,-0.95,100.35,86.99,59,56,3.76,ID,2020-08-25 03:44:06
284,Gat,31.61,34.76,75.99,38,0,3.0,IL,2020-08-25 03:45:00
285,Oranjemund,-28.55,16.43,49.41,92,0,0.87,NA,2020-08-25 03:45:00
286,Sicuani,-14.27,-71.23,44.38,61,0,3.89,PE,2020-08-25 03:45:00
287,Kutum,14.2,24.67,71.53,75,99,5.46,SD,2020-08-25 03:45:01
288,Winnemucca,40.97,-117.74,71.6,60,40,9.17,US,2020-08-25 03:45:01
289,Kasongo-Lunda,-6.47,16.82,73.81,77,22,1.66,CD,2020-08-25 03:45:01
290,Eregli,37.51,34.05,59.25,34,0,1.14,TR,2020-08-25 03:45:01
291,Waipawa,-41.41,175.52,57.2,67,38,14.99,NZ,2020-08-25 03:45:01
292,Centralia,46.72,-122.95,66.2,68,1,3.36,US,2020-08-25 03:45:01
293,Saeby,57.33,10.52,51.01,84,3,13.0,DK,2020-08-25 03:45:01
294,Rivera,-30.91,-55.55,58.53,83,100,10.27,UY,2020-08-25 03:45:01
295,San Patricio,19.22,-104.7,79.59,86,27,3.18,MX,2020-08-25 03:45:01
296,Beidao,34.57,105.89,80.04,46,0,0.83,CN,2020-08-25 03:45:01
297,Matay,28.42,30.78,75.56,47,0,7.78,EG,2020-08-25 03:45:01
298,Sumbe,-11.21,13.84,68.56,89,49,2.1,AO,2020-08-25 03:45:02
